 1.4560 7.8769 5.8444 0.1140 0.6979 0.1373 0.0315 0.0000 0.2453 0.0550 0.0036 0.0001 0.0000
 1.4580 7.8885 5.7833 0.1115 0.6902 0.1376 0.0312 0.0000 0.2410 0.0546 0.0035 0.0001 0.0000
 1.4600 7.9001 5.7245 0.1091 0.6835 0.1374 0.0309 0.0000 0.2375 0.0542 0.0035 0.0001 0.0000
 1.4620 7.9114 5.5912 0.1079 0.6675 0.1345 0.0301 0.0000 0.2312 0.0530 0.0034 0.0001 0.0000
 1.4640 7.9225 5.5188 0.1056 0.6596 0.1337 0.0296 0.0000 0.2268 0.0525 0.0034 0.0001 0.0000
 1.4660 7.9334 5.4458 0.1037 0.6514 0.1328 0.0292 0.0000 0.2230 0.0519 0.0034 0.0001 0.0000
 1.4680 7.9443 5.3664 0.1019 0.6426 0.1316 0.0288 0.0000 0.2188 0.0512 0.0033 0.0001 0.0000
 1.4700 7.9549 5.2929 0.1000 0.6334 0.1308 0.0284 0.0000 0.2155 0.0506 0.0033 0.0001 0.0000
 1.4720 7.9654 5.2355 0.0989 0.6249 0.1305 0.0281 0.0000 0.2134 0.0501 0.0032 0.0001 0.0000
 1.4740 7.9759 5.1806 0.0979 0.6174 0.1301 0.0278 0.0000 0.2113 0.0496 0.0032 0.0001 0.0000
 1.4760 7.9862 5.1243 0.0964 0.6108 0.1295 0.0275 0.0000 0.2086 0.0491 0.0032 0.0001 0.0000
 1.4780 7.9964 5.0663 0.0946 0.6040 0.1288 0.0272 0.0000 0.2061 0.0486 0.0031 0.0001 0.0000
 1.4800 8.0064 5.0068 0.0922 0.5972 0.1279 0.0269 0.0000 0.2030 0.0481 0.0031 0.0001 0.0000
