                                                  EF = 1.3800000
                                                  EF = 1.3820000
                                                  EF = 1.3840000
                                                  EF = 1.3860000
                                                  EF = 1.3880000
                                                  EF = 1.3900000
                                                  EF = 1.3920000
                                                  EF = 1.3940000
                                                  EF = 1.3960000
                                                  EF = 1.3980000
                                                  EF = 1.4000000
                                                  EF = 1.4020000
                                                  EF = 1.4040000
                                                  EF = 1.4060000
                                                  EF = 1.4080000
                                                  EF = 1.4100000
                                                  EF = 1.4120000
                                                  EF = 1.4140000
                                                  EF = 1.4160000
                                                  EF = 1.4180000
                                                  EF = 1.4200000
                                                  EF = 1.4220000
                                                  EF = 1.4240000
                                                  EF = 1.4260000
                                                  EF = 1.4280000
                                                  EF = 1.4300000
                                                  EF = 1.4320000
                                                  EF = 1.4340000
                                                  EF = 1.4360000
                                                  EF = 1.4380000
                                                  EF = 0.0000000
