 480 0.000025010  0.000000  2.200000   1Sb 1
  32  64  96 128 160 192 224 256 288
 0.2499999936845D-04 0.4079506952490D+07
 0.4999999873689D-04 0.2039502729336D+07
 0.7499999810534D-04 0.1359500297101D+07
 0.9999999747379D-04 0.1019498577568D+07
 0.1249999968422D-03 0.8154972423597D+06
 0.1499999962107D-03 0.6794961476543D+06
 0.1749999955791D-03 0.5823523605168D+06
 0.1999999949476D-03 0.5094944075614D+06
 0.2249999943160D-03 0.4528270219875D+06
 0.2499999936845D-03 0.4074930414783D+06
 0.2749999930529D-03 0.3704015431358D+06
 0.2999999924214D-03 0.3394919107528D+06
 0.3249999917898D-03 0.3133375632351D+06
 0.3499999911583D-03 0.2909195135920D+06
 0.3749999905267D-03 0.2714905044128D+06
 0.3999999898952D-03 0.2544900923477D+06
 0.4249999892636D-03 0.2394897028855D+06
 0.4499999886320D-03 0.2261560001479D+06
 0.4749999880005D-03 0.2142258241137D+06
 0.4999999873689D-03 0.2034886466750D+06
 0.5249999867374D-03 0.1937740402450D+06
 0.5499999861058D-03 0.1849425639692D+06
 0.5749999854743D-03 0.1768790275901D+06
 0.5999999848427D-03 0.1694874391106D+06
 0.6249999842112D-03 0.1626871652869D+06
 0.6499999835796D-03 0.1564099779072D+06
 0.6749999829481D-03 0.1505977566320D+06
 0.6999999823165D-03 0.1452006840214D+06
 0.7249999816850D-03 0.1401758139701D+06
 0.7499999810534D-03 0.1354859265051D+06
 0.7749999804219D-03 0.1310986042165D+06
 0.7999999797903D-03 0.1269854818567D+06
 0.8499999785272D-03 0.1194850613331D+06
 0.8999999772641D-03 0.1128179957648D+06
 0.9499999760010D-03 0.1068527040921D+06
 0.9999999747379D-03 0.1014839213852D+06
 0.1049999973475D-02 0.9662643310372D+05
 0.1099999972212D-02 0.9221051815384D+05
 0.1149999970949D-02 0.8817858084457D+05
 0.1199999969685D-02 0.8448262467608D+05
 0.1249999968422D-02 0.8108233259759D+05
 0.1299999967159D-02 0.7794359008544D+05
 0.1349999965896D-02 0.7503733664617D+05
 0.1399999964633D-02 0.7233866324371D+05
 0.1449999963370D-02 0.6982609653986D+05
 0.1499999962107D-02 0.6748102629129D+05
 0.1549999960844D-02 0.6528724355071D+05
 0.1599999959581D-02 0.6323056549520D+05
 0.1649999958317D-02 0.6129852841029D+05
 0.1699999957054D-02 0.5948013488625D+05
 0.1749999955791D-02 0.5776564434992D+05
 0.1799999954528D-02 0.5614639850500D+05
 0.1849999953265D-02 0.5461467507301D+05
 0.1899999952002D-02 0.5316356463405D+05
 0.1949999950739D-02 0.5178686643640D+05
 0.1999999949476D-02 0.5047899979004D+05
 0.2049999948213D-02 0.4923492845761D+05
 0.2099999946950D-02 0.4805009583981D+05
 0.2149999945686D-02 0.4692036919931D+05
 0.2199999944423D-02 0.4584199145309D+05
 0.2249999943160D-02 0.4481153955170D+05
 0.2299999941897D-02 0.4382588807382D+05
 0.2349999940634D-02 0.4288217757820D+05
 0.2399999939371D-02 0.4197778685708D+05
 0.2499999936845D-02 0.4027752872478D+05
 0.2599999934318D-02 0.3870805585412D+05
 0.2699999931792D-02 0.3725483760628D+05
 0.2799999929266D-02 0.3590541902257D+05
 0.2899999926740D-02 0.3464906303994D+05
 0.2999999924214D-02 0.3347646415547D+05
 0.3099999921687D-02 0.3237951758704D+05
 0.3199999919161D-02 0.3135113161618D+05
 0.3299999916635D-02 0.3038507409206D+05
 0.3399999914109D-02 0.2947584603711D+05
 0.3499999911583D-02 0.2861857690917D+05
 0.3599999909056D-02 0.2780893731983D+05
 0.3699999906530D-02 0.2704306590670D+05
 0.3799999904004D-02 0.2631750773860D+05
 0.3899999901478D-02 0.2562916220888D+05
 0.3999999898952D-02 0.2497523879949D+05
 0.4099999896425D-02 0.2435321920835D+05
 0.4199999893899D-02 0.2376082496268D+05
 0.4299999891373D-02 0.2319598953336D+05
 0.4399999888847D-02 0.2265683418821D+05
 0.4499999886320D-02 0.2214164723115D+05
 0.4599999883794D-02 0.2164886583680D+05
 0.4699999881268D-02 0.2117706016018D+05
 0.4799999878742D-02 0.2072491939018D+05
 0.4899999876216D-02 0.2029123985148D+05
 0.4999999873689D-02 0.1987491414961D+05
 0.5099999871163D-02 0.1947492162218D+05
 0.5199999868637D-02 0.1909032019474D+05
 0.5299999866111D-02 0.1872023894882D+05
 0.5399999863585D-02 0.1836387128022D+05
 0.5499999861058D-02 0.1802046943568D+05
 0.5599999858532D-02 0.1768933901147D+05
 0.5799999853480D-02 0.1706135398416D+05
 0.5999999848427D-02 0.1647526265974D+05
 0.6199999843375D-02 0.1592701192230D+05
 0.6399999838322D-02 0.1541305518798D+05
 0.6599999833270D-02 0.1493027570248D+05
 0.6799999828218D-02 0.1447592333324D+05
 0.6999999823165D-02 0.1404756219731D+05
 0.7199999818113D-02 0.1364302701811D+05
 0.7399999813060D-02 0.1326038655940D+05
 0.7599999808008D-02 0.1289791283279D+05
 0.7799999802955D-02 0.1255405501725D+05
 0.7999999797903D-02 0.1222741734797D+05
 0.8199999792851D-02 0.1191674023243D+05
 0.8399999787798D-02 0.1162088399135D+05
 0.8599999782746D-02 0.1133881493533D+05
 0.8799999777693D-02 0.1106959330726D+05
 0.8999999772641D-02 0.1081236281593D+05
 0.9199999767588D-02 0.1056634170581D+05
 0.9399999762536D-02 0.1033081469250D+05
 0.9599999757484D-02 0.1010512604273D+05
 0.9799999752431D-02 0.9888673547068D+04
 0.9999999747379D-02 0.9680903205925D+04
 0.1019999974233D-01 0.9481304402337D+04
 0.1039999973727D-01 0.9289405775585D+04
 0.1059999973222D-01 0.9104771582259D+04
 0.1079999972717D-01 0.8926998285308D+04
 0.1099999972212D-01 0.8755711709946D+04
 0.1119999971706D-01 0.8590564404774D+04
 0.1139999971201D-01 0.8431233260395D+04
 0.1159999970696D-01 0.8277417474973D+04
 0.1179999970191D-01 0.8128836606489D+04
 0.1199999969685D-01 0.7985228916921D+04
 0.1239999968675D-01 0.7711970469316D+04
 0.1279999967664D-01 0.7455867290889D+04
 0.1319999966654D-01 0.7215359574598D+04
 0.1359999965644D-01 0.6989070934948D+04
 0.1399999964633D-01 0.6775782213942D+04
 0.1439999963623D-01 0.6574409651868D+04
 0.1479999962612D-01 0.6383986597008D+04
 0.1519999961602D-01 0.6203648102273D+04
 0.1559999960591D-01 0.6032617890546D+04
 0.1599999959581D-01 0.5870197347160D+04
 0.1639999958570D-01 0.5715755923347D+04
 0.1679999957560D-01 0.5568723089528D+04
 0.1719999956549D-01 0.5428581378127D+04
 0.1759999955539D-01 0.5294860339026D+04
 0.1799999954528D-01 0.5167131486133D+04
 0.1839999953518D-01 0.5045003424609D+04
 0.1879999952507D-01 0.4928118032224D+04
 0.1919999951497D-01 0.4816147078359D+04
 0.1959999950486D-01 0.4708789372212D+04
 0.1999999949476D-01 0.4605767407300D+04
 0.2039999948465D-01 0.4506825576195D+04
 0.2079999947455D-01 0.4411728304763D+04
