bcc Te -- Hedin-Lundqvist LDA                                                   
INPUT  IT=137 SPIN=1 NTYPE=  2
 -3.300000  3.300000  3.300000
  3.300000 -3.300000  3.300000
  3.300000  3.300000 -3.300000
    1  601  1.700000  0.015000    1
  0.000000  0.000000  0.000000
 0.9743947620060D+02 0.9734627724280D+02 0.9725189985270D+02 0.9715633271688D+02
 0.9705956446122D+02 0.9696158364950D+02 0.9686237878189D+02 0.9676193829345D+02
 0.9666025055246D+02 0.9655730385887D+02 0.9645308644258D+02 0.9634758646178D+02
 0.9624079200128D+02 0.9613269107086D+02 0.9602327160359D+02 0.9591252145429D+02
 0.9580042839799D+02 0.9568698012853D+02 0.9557216425724D+02 0.9545596831177D+02
 0.9533837973508D+02 0.9521938588469D+02 0.9509897403203D+02 0.9497713136219D+02
 0.9485384497386D+02 0.9472910187963D+02 0.9460288900666D+02 0.9447519319776D+02
 0.9434600121287D+02 0.9421529973103D+02 0.9408307535291D+02 0.9394931460380D+02
 0.9381400393725D+02 0.9367712973936D+02 0.9353867833364D+02 0.9339863598663D+02
 0.9325698891423D+02 0.9311372328874D+02 0.9296882524669D+02 0.9282228089745D+02
 0.9267407633256D+02 0.9252419763597D+02 0.9237263089488D+02 0.9221936221147D+02
 0.9206437771527D+02 0.9190766357619D+02 0.9174920601826D+02 0.9158899133372D+02
 0.9142700589772D+02 0.9126323618327D+02 0.9109766877635D+02 0.9093029039115D+02
 0.9076108788513D+02 0.9059004827378D+02 0.9041715874487D+02 0.9024240667197D+02
 0.9006577962694D+02 0.8988726539122D+02 0.8970685196564D+02 0.8952452757837D+02
 0.8934028069093D+02 0.8915410000180D+02 0.8896597444758D+02 0.8877589320120D+02
 0.8858384566733D+02 0.8838982147445D+02 0.8819381046383D+02 0.8799580267505D+02
 0.8779578832832D+02 0.8759375780354D+02 0.8738970161634D+02 0.8718361039139D+02
 0.8697547483332D+02 0.8676528569568D+02 0.8655303374860D+02 0.8633870974567D+02
 0.8612230439085D+02 0.8590380830620D+02 0.8568321200134D+02 0.8546050584525D+02
 0.8523568004176D+02 0.8500872460896D+02 0.8477962936417D+02 0.8454838391429D+02
 0.8431497765317D+02 0.8407939976553D+02 0.8384163923891D+02 0.8360168488275D+02
 0.8335952535588D+02 0.8311514920115D+02 0.8286854488810D+02 0.8261970086206D+02
 0.8236860560037D+02 0.8211524767357D+02 0.8185961581230D+02 0.8160169897721D+02
 0.8134148643276D+02 0.8107896782168D+02 0.8081413324131D+02 0.8054697331828D+02
 0.8027747928280D+02 0.8000564303910D+02 0.7973145723350D+02 0.7945491531646D+02
 0.7917601160066D+02 0.7889474131120D+02 0.7861110063058D+02 0.7832508673432D+02
 0.7803669782062D+02 0.7774593312952D+02 0.7745279295579D+02 0.7715727865065D+02
 0.7685939261739D+02 0.7655913829552D+02 0.7625652013933D+02 0.7595154358520D+02
 0.7564421501426D+02 0.7533454170423D+02 0.7502253177806D+02 0.7470819414249D+02
 0.7439153842519D+02 0.7407257490291D+02 0.7375131443037D+02 0.7342776836147D+02
 0.7310194847374D+02 0.7277386688666D+02 0.7244353598608D+02 0.7211096834423D+02
 0.7177617664890D+02 0.7143917363014D+02 0.7109997199942D+02 0.7075858438817D+02
 0.7041502330236D+02 0.7006930107817D+02 0.6972142985724D+02 0.6937142156469D+02
 0.6901928790992D+02 0.6866504039149D+02 0.6830869032780D+02 0.6795024889226D+02
 0.6758972717685D+02 0.6722713625960D+02 0.6686248730200D+02 0.6649579164863D+02
 0.6612706095695D+02 0.6575630732585D+02 0.6538354345308D+02 0.6500878278582D+02
 0.6463203969705D+02 0.6425332964705D+02 0.6387266936554D+02 0.6349007700860D+02
 0.6310557232910D+02 0.6271917680951D+02 0.6233091379970D+02 0.6194080860361D+02
 0.6154888856229D+02 0.6115518307258D+02 0.6075972359542D+02 0.6036254358943D+02
 0.5996367843155D+02 0.5956316525817D+02 0.5916104279795D+02 0.5875735112821D+02
 0.5835213143698D+02 0.5794542572115D+02 0.5753727651386D+02 0.5712772656916D+02
 0.5671681860677D+02 0.5630459504036D+02 0.5589109779893D+02 0.5547636815720D+02
 0.5506044668590D+02 0.5464337322961D+02 0.5422518702081D+02 0.5380592682201D+02
 0.5338563120653D+02 0.5296433885266D+02 0.5254208896117D+02 0.5211892165653D+02
 0.5169487848246D+02 0.5127000284662D+02 0.5084434052303D+02 0.5041794006569D+02
 0.4999085324632D+02 0.4956313536965D+02 0.4913484558619D+02 0.4870604705797D+02
 0.4827680710493D+02 0.4784719719071D+02 0.4741729288264D+02 0.4698717364817D+02
 0.4655692262839D+02 0.4612662625405D+02 0.4569637384869D+02 0.4526625708747D+02
 0.4483636945829D+02 0.4440680559638D+02 0.4397766064013D+02 0.4354902948111D+02
 0.4312100605615D+02 0.4269368255634D+02 0.4226714869967D+02 0.4184149094428D+02
 0.4141679178698D+02 0.4099312902628D+02 0.4057057513172D+02 0.4014919660121D+02
 0.3972905344431D+02 0.3931019867656D+02 0.3889267795727D+02 0.3847652925978D+02
 0.3806178270031D+02 0.3764846041868D+02 0.3723657662911D+02 0.3682613773957D+02
 0.3641714264798D+02 0.3600958311992D+02 0.3560344434383D+02 0.3519870557538D+02
 0.3479534095194D+02 0.3439332039661D+02 0.3399261067404D+02 0.3359317652608D+02
 0.3319498192632D+02 0.3279799139067D+02 0.3240217135440D+02 0.3200749156299D+02
 0.3161392645185D+02 0.3122145647477D+02 0.3083006931469D+02 0.3043976095355D+02
 0.3005053649027D+02 0.2966241071034D+02 0.2927540825466D+02 0.2888956343711D+02
 0.2850491953063D+02 0.2812152764423D+02 0.2773944501246D+02 0.2735873293092D+02
 0.2697945417245D+02 0.2660167027204D+02 0.2622543852790D+02 0.2585080925306D+02
 0.2547782312232D+02 0.2510650919900D+02 0.2473688341214D+02 0.2436894808751D+02
 0.2400269207889D+02 0.2363809205930D+02 0.2327511428855D+02 0.2291371735498D+02
 0.2255385502343D+02 0.2219547969310D+02 0.2183854550348D+02 0.2148301168297D+02
 0.2112884516177D+02 0.2077602319100D+02 0.2042453500907D+02 0.2007438343779D+02
 0.1972558547134D+02 0.1937817285362D+02 0.1903219169790D+02 0.1868770222634D+02
 0.1834477764764D+02 0.1800350330727D+02 0.1766397507618D+02 0.1732629815434D+02
 0.1699058519623D+02 0.1665695497200D+02 0.1632553040898D+02 0.1599643726444D+02
 0.1566980221710D+02 0.1534575166614D+02 0.1502440996253D+02 0.1470589840922D+02
 0.1439033369664D+02 0.1407782715384D+02 0.1376848342261D+02 0.1346239998851D+02
 0.1315966611090D+02 0.1286036264541D+02 0.1256456123125D+02 0.1227232440265D+02
 0.1198370502195D+02 0.1169874666575D+02 0.1141748328067D+02 0.1113993981981D+02
 0.1086613208843D+02 0.1059606759787D+02 0.1032974556055D+02 0.1006715792227D+02
 0.9808289461783D+01 0.9553118956990D+01 0.9301619343365D+01 0.9053758977561D+01
 0.8809501806682D+01 0.8568808694329D+01 0.8331637567843D+01 0.8097944780711D+01
 0.7867685211425D+01 0.7640813645351D+01 0.7417284801393D+01 0.7197054706754D+01
 0.6980080641128D+01 0.6766322451899D+01 0.6555742308696D+01 0.6348305906713D+01
 0.6143981912270D+01 0.5942742883226D+01 0.5744564239436D+01 0.5549424730492D+01
 0.5357304784604D+01 0.5168186448821D+01 0.4982051153375D+01 0.4798879330820D+01
 0.4618648009282D+01 0.4441330761237D+01 0.4266896001263D+01 0.4095308310551D+01
 0.3926528549256D+01 0.3760517566127D+01 0.3597238838834D+01 0.3436664752172D+01
 0.3278781226869D+01 0.3123595165689D+01 0.2971138782510D+01 0.2821475069450D+01
 0.2674698284979D+01
    2  501  1.000000  0.015000    3
  0.000000  0.500000  0.500000
  0.500000  0.500000  0.000000
  0.500000  0.000000  0.500000
 0.1998908257896D+01 0.1998891753209D+01 0.1998874998940D+01 0.1998857991313D+01
 0.1998840726493D+01 0.1998823200590D+01 0.1998805409651D+01 0.1998787349666D+01
 0.1998769016564D+01 0.1998750406211D+01 0.1998731514411D+01 0.1998712336906D+01
 0.1998692869370D+01 0.1998673107416D+01 0.1998653046586D+01 0.1998632682358D+01
 0.1998612010138D+01 0.1998591025267D+01 0.1998569723010D+01 0.1998548098565D+01
 0.1998526147055D+01 0.1998503863529D+01 0.1998481242960D+01 0.1998458280248D+01
 0.1998434970213D+01 0.1998411307596D+01 0.1998387287061D+01 0.1998362903188D+01
 0.1998338150478D+01 0.1998313023346D+01 0.1998287516124D+01 0.1998261623056D+01
 0.1998235338301D+01 0.1998208655928D+01 0.1998181569916D+01 0.1998154074154D+01
 0.1998126162437D+01 0.1998097828466D+01 0.1998069065847D+01 0.1998039868089D+01
 0.1998010228601D+01 0.1997980140694D+01 0.1997949597576D+01 0.1997918592354D+01
 0.1997887118027D+01 0.1997855167491D+01 0.1997822733533D+01 0.1997789808829D+01
 0.1997756385947D+01 0.1997722457338D+01 0.1997688015343D+01 0.1997653052182D+01
 0.1997617559962D+01 0.1997581530665D+01 0.1997544956155D+01 0.1997507828170D+01
 0.1997470138325D+01 0.1997431878104D+01 0.1997393038866D+01 0.1997353611835D+01
 0.1997313588103D+01 0.1997272958628D+01 0.1997231714229D+01 0.1997189845585D+01
 0.1997147343234D+01 0.1997104197571D+01 0.1997060398844D+01 0.1997015937154D+01
 0.1996970802449D+01 0.1996924984526D+01 0.1996878473027D+01 0.1996831257436D+01
 0.1996783327076D+01 0.1996734671109D+01 0.1996685278532D+01 0.1996635138175D+01
 0.1996584238695D+01 0.1996532568581D+01 0.1996480116144D+01 0.1996426869516D+01
 0.1996372816652D+01 0.1996317945320D+01 0.1996262243105D+01 0.1996205697399D+01
 0.1996148295407D+01 0.1996090024133D+01 0.1996030870390D+01 0.1995970820784D+01
 0.1995909861720D+01 0.1995847979395D+01 0.1995785159797D+01 0.1995721388699D+01
 0.1995656651658D+01 0.1995590934009D+01 0.1995524220865D+01 0.1995456497112D+01
 0.1995387747406D+01 0.1995317956168D+01 0.1995247107580D+01 0.1995175185586D+01
 0.1995102173882D+01 0.1995028055917D+01 0.1994952814886D+01 0.1994876433730D+01
 0.1994798895125D+01 0.1994720181488D+01 0.1994640274963D+01 0.1994559157424D+01
 0.1994476810466D+01 0.1994393215405D+01 0.1994308353269D+01 0.1994222204799D+01
 0.1994134750438D+01 0.1994045970334D+01 0.1993955844328D+01 0.1993864351955D+01
 0.1993771472436D+01 0.1993677184673D+01 0.1993581467248D+01 0.1993484298412D+01
 0.1993385656086D+01 0.1993285517851D+01 0.1993183860946D+01 0.1993080662259D+01
 0.1992975898328D+01 0.1992869545328D+01 0.1992761579070D+01 0.1992651974996D+01
 0.1992540708168D+01 0.1992427753268D+01 0.1992313084590D+01 0.1992196676034D+01
 0.1992078501096D+01 0.1991958532870D+01 0.1991836744034D+01 0.1991713106847D+01
 0.1991587593144D+01 0.1991460174324D+01 0.1991330821351D+01 0.1991199504738D+01
 0.1991066194548D+01 0.1990930860384D+01 0.1990793471379D+01 0.1990653996194D+01
 0.1990512403007D+01 0.1990368659505D+01 0.1990222732880D+01 0.1990074589817D+01
 0.1989924196489D+01 0.1989771518547D+01 0.1989616521115D+01 0.1989459168778D+01
 0.1989299425574D+01 0.1989137254988D+01 0.1988972619942D+01 0.1988805482785D+01
 0.1988635805287D+01 0.1988463548625D+01 0.1988288673379D+01 0.1988111139518D+01
 0.1987930906396D+01 0.1987747932735D+01 0.1987562176621D+01 0.1987373595493D+01
 0.1987182146128D+01 0.1986987784639D+01 0.1986790466456D+01 0.1986590146321D+01
 0.1986386778274D+01 0.1986180315645D+01 0.1985970711039D+01 0.1985757916327D+01
 0.1985541882633D+01 0.1985322560324D+01 0.1985099898996D+01 0.1984873847463D+01
 0.1984644353746D+01 0.1984411365055D+01 0.1984174827783D+01 0.1983934687488D+01
 0.1983690888884D+01 0.1983443375821D+01 0.1983192091279D+01 0.1982936977350D+01
 0.1982677975222D+01 0.1982415025169D+01 0.1982148066534D+01 0.1981877037715D+01
