 0.1039975886494D+03 0.1039975141617D+03 0.1039974373751D+03 0.1039973582187D+03
 0.1039972766191D+03 0.1039971925012D+03 0.1039971057873D+03 0.1039970163973D+03
 0.1039969242488D+03 0.1039968292567D+03 0.1039967313332D+03 0.1039966303880D+03
 0.1039965263279D+03 0.1039964190569D+03 0.1039963084759D+03 0.1039961944829D+03
 0.1039960769727D+03 0.1039959558367D+03 0.1039958309634D+03 0.1039957022373D+03
 0.1039955695397D+03 0.1039954327483D+03 0.1039952917366D+03 0.1039951463747D+03
 0.1039949965284D+03 0.1039948420594D+03 0.1039946828253D+03 0.1039945186791D+03
 0.1039943494694D+03 0.1039941750401D+03 0.1039939952303D+03 0.1039938098741D+03
 0.1039936188006D+03 0.1039934218334D+03 0.1039932187909D+03 0.1039930094859D+03
 0.1039927937252D+03 0.1039925713099D+03 0.1039923420348D+03 0.1039921056885D+03
 0.1039918620531D+03 0.1039916109037D+03 0.1039913520088D+03 0.1039910851297D+03
 0.1039908100203D+03 0.1039905264268D+03 0.1039902340877D+03 0.1039899327335D+03
 0.1039896220863D+03 0.1039893018596D+03 0.1039889717583D+03 0.1039886314778D+03
 0.1039882807044D+03 0.1039879191148D+03 0.1039875463756D+03 0.1039871621430D+03
 0.1039867660628D+03 0.1039863577698D+03 0.1039859368876D+03 0.1039855030282D+03
 0.1039850557916D+03 0.1039845947653D+03 0.1039841195245D+03 0.1039836296309D+03
 0.1039831246329D+03 0.1039826040649D+03 0.1039820674470D+03 0.1039815142845D+03
 0.1039809440673D+03 0.1039803562699D+03 0.1039797503502D+03 0.1039791257497D+03
 0.1039784818924D+03 0.1039778181849D+03 0.1039771340151D+03 0.1039764287524D+03
 0.1039757017464D+03 0.1039749523270D+03 0.1039741798030D+03 0.1039733834623D+03
 0.1039725625706D+03 0.1039717163710D+03 0.1039708440832D+03 0.1039699449030D+03
 0.1039690180012D+03 0.1039680625230D+03 0.1039670775875D+03 0.1039660622862D+03
 0.1039650156830D+03 0.1039639368126D+03 0.1039628246799D+03 0.1039616782594D+03
 0.1039604964936D+03 0.1039592782926D+03 0.1039580225326D+03 0.1039567280553D+03
 0.1039553936666D+03 0.1039540181355D+03 0.1039526001930D+03 0.1039511385310D+03
 0.1039496318007D+03 0.1039480786120D+03 0.1039464775316D+03 0.1039448270821D+03
 0.1039431257403D+03 0.1039413719360D+03 0.1039395640506D+03 0.1039377004152D+03
 0.1039357793095D+03 0.1039337989601D+03 0.1039317575386D+03 0.1039296531601D+03
 0.1039274838816D+03 0.1039252476998D+03 0.1039229425496D+03 0.1039205663019D+03
 0.1039181167617D+03 0.1039155916664D+03 0.1039129886831D+03 0.1039103054068D+03
 0.1039075393581D+03 0.1039046879808D+03 0.1039017486398D+03 0.1038987186181D+03
 0.1038955951149D+03 0.1038923752424D+03 0.1038890560237D+03 0.1038856343894D+03
 0.1038821071752D+03 0.1038784711188D+03 0.1038747228568D+03 0.1038708589217D+03
 0.1038668757384D+03 0.1038627696211D+03 0.1038585367700D+03 0.1038541732671D+03
 0.1038496750735D+03 0.1038450380246D+03 0.1038402578272D+03 0.1038353300547D+03
 0.1038302501433D+03 0.1038250133878D+03 0.1038196149373D+03 0.1038140497902D+03
 0.1038083127900D+03 0.1038023986203D+03 0.1037963017999D+03 0.1037900166776D+03
 0.1037835374272D+03 0.1037768580416D+03 0.1037699723277D+03 0.1037628739005D+03
 0.1037555561768D+03 0.1037480123698D+03 0.1037402354820D+03 0.1037322182995D+03
 0.1037239533846D+03 0.1037154330695D+03 0.1037066494489D+03 0.1036975943728D+03
 0.1036882594390D+03 0.1036786359856D+03 0.1036687150823D+03 0.1036584875233D+03
 0.1036479438181D+03 0.1036370741830D+03 0.1036258685324D+03 0.1036143164696D+03
 0.1036024072772D+03 0.1035901299075D+03 0.1035774729729D+03 0.1035644247351D+03
 0.1035509730951D+03 0.1035371055822D+03 0.1035228093430D+03 0.1035080711302D+03
 0.1034928772906D+03 0.1034772137536D+03 0.1034610660188D+03 0.1034444191432D+03
 0.1034272577289D+03 0.1034095659095D+03 0.1033913273368D+03 0.1033725251670D+03
 0.1033531420470D+03 0.1033331600992D+03 0.1033125609078D+03 0.1032913255029D+03
 0.1032694343460D+03 0.1032468673138D+03 0.1032236036828D+03 0.1031996221127D+03
 0.1031749006304D+03 0.1031494166130D+03 0.1031231467709D+03 0.1030960671309D+03
 0.1030681530182D+03 0.1030393790394D+03 0.1030097190643D+03 0.1029791462081D+03
 0.1029476328129D+03 0.1029151504301D+03 0.1028816698015D+03 0.1028471608408D+03
 0.1028115926159D+03 0.1027749333294D+03 0.1027371503011D+03 0.1026982099493D+03
 0.1026580777722D+03 0.1026167183307D+03 0.1025740952300D+03 0.1025301711022D+03
 0.1024849075892D+03 0.1024382653256D+03 0.1023902039229D+03 0.1023406819531D+03
