bcc Sb -- Hedin-Lundqvist LDA                                                   
INPUT  IT=231 SPIN=1 NTYPE=  2
 -3.000000  3.000000  3.000000
  3.000000 -3.000000  3.000000
  3.000000  3.000000 -3.000000
    1  435  1.700000  0.030000    1
  0.000000  0.000000  0.000000
 0.9524294713656D+02 0.9505055646661D+02 0.9485332594369D+02 0.9465116403876D+02
 0.9444397817021D+02 0.9423167465095D+02 0.9401415863523D+02 0.9379133406660D+02
 0.9356310362996D+02 0.9332936870995D+02 0.9309002935964D+02 0.9284498428231D+02
 0.9259413083141D+02 0.9233736503217D+02 0.9207458163055D+02 0.9180567417333D+02
 0.9153053512547D+02 0.9124905602777D+02 0.9096112770065D+02 0.9066664049513D+02
 0.9036548459476D+02 0.9005755036600D+02 0.8974272875671D+02 0.8942091173381D+02
 0.8909199275348D+02 0.8875586724597D+02 0.8841243309967D+02 0.8806159111605D+02
 0.8770324541140D+02 0.8733730372747D+02 0.8696367762275D+02 0.8658228250412D+02
 0.8619303747721D+02 0.8579586498720D+02 0.8539069025314D+02 0.8497744049797D+02
 0.8455604402075D+02 0.8412642916019D+02 0.8368852323394D+02 0.8324225156301D+02
 0.8278753668543D+02 0.8232429786117D+02 0.8185245098320D+02 0.8137190893908D+02
 0.8088258248053D+02 0.8038438156257D+02 0.7987721712895D+02 0.7936100321818D+02
 0.7883565930787D+02 0.7830111271672D+02 0.7775730096705D+02 0.7720417392224D+02
 0.7664169562929D+02 0.7606984571086D+02 0.7548862029588D+02 0.7489803237231D+02
 0.7429811162200D+02 0.7368890366210D+02 0.7307046881676D+02 0.7244288038177D+02
 0.7180622256730D+02 0.7116058810382D+02 0.7050607576375D+02 0.6984278779167D+02
 0.6917082755460D+02 0.6849029740694D+02 0.6780129712356D+02 0.6710392286799D+02
 0.6639826707925D+02 0.6568441915463D+02 0.6496246731167D+02 0.6423250134478D+02
 0.6349461657947D+02 0.6274891849560D+02 0.6199552815860D+02 0.6123458758954D+02
 0.6046626502261D+02 0.5969075883750D+02 0.5890830006715D+02 0.5811915217276D+02
 0.5732360839420D+02 0.5652198583832D+02 0.5571461768231D+02 0.5490184363712D+02
 0.5408400131393D+02 0.5326141926380D+02 0.5243441448624D+02 0.5160329447472D+02
 0.5076836500645D+02 0.4992994186292D+02 0.4908836568317D+02 0.4824401673438D+02
 0.4739732852921D+02 0.4654879697221D+02 0.4569898505251D+02 0.4484852096915D+02
 0.4399809101529D+02 0.4314842628030D+02 0.4230028541025D+02 0.4145443318177D+02
 0.4061161753009D+02 0.3977254509307D+02 0.3893785798169D+02 0.3810811193193D+02
 0.3728375838959D+02 0.3646513067437D+02 0.3565243644779D+02 0.3484575646295D+02
 0.3404505132726D+02 0.3325017587729D+02 0.3246090208137D+02 0.3167694936581D+02
 0.3089802183170D+02 0.3012384992353D+02 0.2935423350229D+02 0.2858908158400D+02
 0.2782844216313D+02 0.2707251523728D+02 0.2632164081675D+02 0.2557625845914D+02
 0.2483683835259D+02 0.2410379604309D+02 0.2337740918542D+02 0.2265776100264D+02
 0.2194472792013D+02 0.2123802087982D+02 0.2053726406778D+02 0.1984209585206D+02
 0.1915226030627D+02 0.1846768043619D+02 0.1778849542298D+02 0.1711507225382D+02
 0.1644798634977D+02 0.1578799036164D+02 0.1513596558209D+02 0.1449287599845D+02
 0.1385971464369D+02 0.1323746164219D+02 0.1262703923166D+02 0.1202928272676D+02
 0.1144491103747D+02 0.1087451304559D+02 0.1031853457894D+02 0.9777280361415D+01
 0.9250914705852D+01 0.8739476507331D+01 0.8242888839660D+01 0.7760983380648D+01
 0.7293514588040D+01 0.6840190266969D+01 0.6400688640027D+01 0.5974692510510D+01
 0.5561908967656D+01 0.5162099910491D+01 0.4775088154648D+01 0.4400765028576D+01
 0.4039058287103D+01 0.3689904928988D+01 0.3353208401503D+01 0.3028862612548D+01
 0.2716832330646D+01 0.2417348914098D+01 0.2131116457675D+01
    2  435  1.000000  0.030000    3
  0.000000  0.500000  0.500000
  0.500000  0.500000  0.000000
  0.500000  0.000000  0.500000
 0.1999995257657D+01 0.1999995113229D+01 0.1999994964403D+01 0.1999994811044D+01
 0.1999994653014D+01 0.1999994490172D+01 0.1999994322370D+01 0.1999994149458D+01
 0.1999993971279D+01 0.1999993787675D+01 0.1999993598478D+01 0.1999993403520D+01
 0.1999993202624D+01 0.1999992995610D+01 0.1999992782291D+01 0.1999992562476D+01
 0.1999992335966D+01 0.1999992102558D+01 0.1999991862041D+01 0.1999991614200D+01
 0.1999991358810D+01 0.1999991095642D+01 0.1999990824460D+01 0.1999990545019D+01
 0.1999990257067D+01 0.1999989960346D+01 0.1999989654588D+01 0.1999989339518D+01
 0.1999989014853D+01 0.1999988680300D+01 0.1999988335558D+01 0.1999987980317D+01
 0.1999987614257D+01 0.1999987237048D+01 0.1999986848352D+01 0.1999986447818D+01
 0.1999986035085D+01 0.1999985609783D+01 0.1999985171528D+01 0.1999984719926D+01
 0.1999984254571D+01 0.1999983775042D+01 0.1999983280910D+01 0.1999982771729D+01
 0.1999982247041D+01 0.1999981706373D+01 0.1999981149239D+01 0.1999980575137D+01
 0.1999979983551D+01 0.1999979373948D+01 0.1999978745779D+01 0.1999978098480D+01
 0.1999977431466D+01 0.1999976744139D+01 0.1999976035879D+01 0.1999975306048D+01
 0.1999974553990D+01 0.1999973779029D+01 0.1999972980465D+01 0.1999972157581D+01
 0.1999971309636D+01 0.1999970435866D+01 0.1999969535485D+01 0.1999968607683D+01
 0.1999967651624D+01 0.1999966666448D+01 0.1999965651268D+01 0.1999964605170D+01
 0.1999963527213D+01 0.1999962416426D+01 0.1999961271810D+01 0.1999960092333D+01
 0.1999958876935D+01 0.1999957624522D+01 0.1999956333965D+01 0.1999955004104D+01
 0.1999953633741D+01 0.1999952221643D+01 0.1999950766538D+01 0.1999949267117D+01
 0.1999947722031D+01 0.1999946129887D+01 0.1999944489254D+01 0.1999942798654D+01
 0.1999941056565D+01 0.1999939261420D+01 0.1999937411602D+01 0.1999935505446D+01
 0.1999933541236D+01 0.1999931517205D+01 0.1999929431530D+01 0.1999927282333D+01
 0.1999925067681D+01 0.1999922785579D+01 0.1999920433973D+01 0.1999918010746D+01
 0.1999915513717D+01 0.1999912940638D+01 0.1999910289193D+01 0.1999907556995D+01
 0.1999904741584D+01 0.1999901840426D+01 0.1999898850909D+01 0.1999895770342D+01
 0.1999892595952D+01 0.1999889324880D+01 0.1999885954184D+01 0.1999882480827D+01
 0.1999878901683D+01 0.1999875213530D+01 0.1999871413048D+01 0.1999867496816D+01
 0.1999863461306D+01 0.1999859302888D+01 0.1999855017817D+01 0.1999850602235D+01
 0.1999846052166D+01 0.1999841363516D+01 0.1999836532061D+01 0.1999831553454D+01
 0.1999826423211D+01 0.1999821136713D+01 0.1999815689202D+01 0.1999810075772D+01
 0.1999804291370D+01 0.1999798330787D+01 0.1999792188658D+01 0.1999785859451D+01
 0.1999779337469D+01 0.1999772616839D+01 0.1999765691510D+01 0.1999758555247D+01
 0.1999751201623D+01 0.1999743624019D+01 0.1999735815611D+01 0.1999727769367D+01
 0.1999719478044D+01 0.1999710934174D+01 0.1999702130065D+01 0.1999693057788D+01
 0.1999683709175D+01 0.1999674075807D+01 0.1999664149009D+01 0.1999653919842D+01
 0.1999643379095D+01 0.1999632517273D+01 0.1999621324597D+01 0.1999609790987D+01
 0.1999597906055D+01 0.1999585659097D+01 0.1999573039084D+01 0.1999560034651D+01
 0.1999546634084D+01 0.1999532825314D+01 0.1999518595904D+01 0.1999503933037D+01
 0.1999488823507D+01 0.1999473253703D+01 0.1999457209601D+01 0.1999440676749D+01
 0.1999423640254D+01 0.1999406084770D+01 0.1999387994481D+01 0.1999369353090D+01
 0.1999350143804D+01 0.1999330349318D+01 0.1999309951796D+01 0.1999288932863D+01
 0.1999267273579D+01 0.1999244954431D+01 0.1999221955307D+01 0.1999198255483D+01
 0.1999173833603D+01 0.1999148667660D+01 0.1999122734976D+01 0.1999096012180D+01
 0.1999068475188D+01 0.1999040099182D+01 0.1999010858587D+01 0.1998980727047D+01
 0.1998949677403D+01 0.1998917681666D+01 0.1998884710993D+01 0.1998850735661D+01
 0.1998815725040D+01 0.1998779647566D+01 0.1998742470709D+01 0.1998704160949D+01
 0.1998664683740D+01 0.1998624003483D+01 0.1998582083492D+01 0.1998538885961D+01
 0.1998494371928D+01 0.1998448501242D+01 0.1998401232526D+01 0.1998352523139D+01
 0.1998302329138D+01 0.1998250605236D+01 0.1998197304763D+01 0.1998142379624D+01
 0.1998085780252D+01 0.1998027455568D+01 0.1997967352930D+01 0.1997905418087D+01
 0.1997841595129D+01 0.1997775826437D+01 0.1997708052630D+01 0.1997638212511D+01
 0.1997566243012D+01 0.1997492079134D+01 0.1997415653891D+01 0.1997336898245D+01
 0.1997255741049D+01 0.1997172108974D+01 0.1997085926449D+01 0.1996997115589D+01
 0.1996905596124D+01 0.1996811285324D+01 0.1996714097927D+01 0.1996613946058D+01
 0.1996510739148D+01 0.1996404383855D+01 0.1996294783973D+01 0.1996181840349D+01
 0.1996065450787D+01 0.1995945509959D+01 0.1995821909302D+01 0.1995694536926D+01
 0.1995563277505D+01 0.1995428012172D+01 0.1995288618413D+01 0.1995144969947D+01
 0.1994996936618D+01 0.1994844384268D+01 0.1994687174617D+01 0.1994525165132D+01
 0.1994358208899D+01 0.1994186154484D+01 0.1994008845793D+01 0.1993826121929D+01
 0.1993637817039D+01 0.1993443760165D+01 0.1993243775081D+01 0.1993037680130D+01
 0.1992825288057D+01 0.1992606405829D+01 0.1992380834461D+01 0.1992148368827D+01
 0.1991908797468D+01 0.1991661902395D+01 0.1991407458884D+01 0.1991145235265D+01
 0.1990874992707D+01 0.1990596484988D+01 0.1990309458269D+01 0.1990013650851D+01
 0.1989708792930D+01 0.1989394606342D+01 0.1989070804298D+01 0.1988737091115D+01
