bcc Te -- Hedin-Lundqvist LDA                                                   
INPUT  IT=262 SPIN=1 NTYPE=  2
 -3.800000  3.800000  3.800000
  3.800000 -3.800000  3.800000
  3.800000  3.800000 -3.800000
    1  435  2.200000  0.030000    1
  0.000000  0.000000  0.000000
 0.9697121585551D+02 0.9672277987664D+02 0.9646844228767D+02 0.9620809658677D+02
 0.9594163494676D+02 0.9566894829840D+02 0.9538992645041D+02 0.9510445825055D+02
 0.9481243179162D+02 0.9451373466530D+02 0.9420825426508D+02 0.9389587813783D+02
 0.9357649438075D+02 0.9324999207729D+02 0.9291626176178D+02 0.9257519589807D+02
 0.9222668935270D+02 0.9187063983834D+02 0.9150694829866D+02 0.9113551920269D+02
 0.9075626071485D+02 0.9036908470840D+02 0.8997390659493D+02 0.8957064495164D+02
 0.8915922094289D+02 0.8873955755079D+02 0.8831157865215D+02 0.8787520800298D+02
 0.8743036821311D+02 0.8697697981221D+02 0.8651496051507D+02 0.8604422479296D+02
 0.8556468384153D+02 0.8507624600873D+02 0.8457881770946D+02 0.8407230481170D+02
 0.8355661443753D+02 0.8303165708572D+02 0.8249734895548D+02 0.8195361433466D+02
 0.8140038791214D+02 0.8083761688095D+02 0.8026526271429D+02 0.7968330251897D+02
 0.7909172989613D+02 0.7849055526692D+02 0.7787980564773D+02 0.7725952388665D+02
 0.7662976739794D+02 0.7599060645511D+02 0.7534212212581D+02 0.7468440395251D+02
 0.7401754750227D+02 0.7334165192594D+02 0.7265681768129D+02 0.7196314458471D+02
 0.7126073036045D+02 0.7054966985287D+02 0.6983005505356D+02 0.6910197606788D+02
 0.6836552310151D+02 0.6762078948441D+02 0.6686787566302D+02 0.6610689398358D+02
 0.6533797396126D+02 0.6456126759226D+02 0.6377695413646D+02 0.6298524370593D+02
 0.6218637897755D+02 0.6138063445128D+02 0.6056831293299D+02 0.5974973934367D+02
 0.5892525250393D+02 0.5809519611278D+02 0.5725991057828D+02 0.5641972749790D+02
 0.5557496831320D+02 0.5472594798888D+02 0.5387298361331D+02 0.5301640683557D+02
 0.5215657829492D+02 0.5129390181784D+02 0.5042883620171D+02 0.4956190280014D+02
 0.4869368772641D+02 0.4782483815207D+02 0.4695605278876D+02 0.4608806713913D+02
 0.4522163447408D+02 0.4435750374556D+02 0.4349639580167D+02 0.4263897935500D+02
 0.4178584818361D+02 0.4093750102825D+02 0.4009432559200D+02 0.3925658795204D+02
 0.3842442854796D+02 0.3759786571174D+02 0.3677680743204D+02 0.3596107167645D+02
 0.3515041509153D+02 0.3434456920918D+02 0.3354328234566D+02 0.3274636412878D+02
 0.3195372802835D+02 0.3116542554521D+02 0.3038166428258D+02 0.2960280185805D+02
 0.2882930977525D+02 0.2806170713262D+02 0.2730047325895D+02 0.2654595851016D+02
 0.2579831844247D+02 0.2505749324397D+02 0.2432324132445D+02 0.2359521829720D+02
 0.2287307924945D+02 0.2215657859060D+02 0.2144564742860D+02 0.2074043844600D+02
 0.2004133759927D+02 0.1934894797446D+02 0.1866405365019D+02 0.1798757147084D+02
 0.1732049749130D+02 0.1666385332850D+02 0.1601863624875D+02 0.1538577561287D+02
 0.1476609738599D+02 0.1416029767601D+02 0.1356892568183D+02 0.1299237594252D+02
