 480 0.000025010  0.000000  1.700000   1I  1
  32  64  96 128 160 192 224 256 288
 0.2499999936845D-04 0.4228279981961D+07
 0.4999999873689D-04 0.2111672600967D+07
 0.7499999810534D-04 0.1406514412116D+07
 0.9999999747379D-04 0.1054082437157D+07
 0.1249999968422D-03 0.8426986589025D+06
 0.1499999962107D-03 0.7018208724538D+06
 0.1749999955791D-03 0.6012229884784D+06
 0.1999999949476D-03 0.5257947751781D+06
 0.2249999943160D-03 0.4671430784409D+06
 0.2499999936845D-03 0.4202328060250D+06
 0.2749999930529D-03 0.3818602843222D+06
 0.2999999924214D-03 0.3498900291372D+06
 0.3249999917898D-03 0.3228438257322D+06
 0.3499999911583D-03 0.2996659369022D+06
 0.3749999905267D-03 0.2795822584780D+06
 0.3999999898952D-03 0.2620122725923D+06
 0.4249999892636D-03 0.2465121089651D+06
 0.4499999886320D-03 0.2327365722046D+06
 0.4749999880005D-03 0.2204131681673D+06
 0.4999999873689D-03 0.2093239240864D+06
 0.5249999867374D-03 0.1992924075034D+06
 0.5499999861058D-03 0.1901742715514D+06
 0.5749999854743D-03 0.1818502914301D+06
 0.5999999848427D-03 0.1742211170551D+06
 0.6249999842112D-03 0.1672033086348D+06
 0.6499999835796D-03 0.1607262617909D+06
 0.6749999829481D-03 0.1547298423117D+06
 0.6999999823165D-03 0.1491625120856D+06
 0.7249999816850D-03 0.1439798416055D+06
 0.7499999810534D-03 0.1391433302102D+06
 0.7749999804219D-03 0.1346194481412D+06
 0.7999999797903D-03 0.1303788591236D+06
 0.8499999785272D-03 0.1226474812413D+06
 0.8999999772641D-03 0.1157768538169D+06
 0.9499999760010D-03 0.1096309371878D+06
 0.9999999747379D-03 0.1041009152301D+06
 0.1049999973475D-02 0.9909871445859D+05
 0.1099999972212D-02 0.9455228091581D+05
 0.1149999970949D-02 0.9040210191051D+05
 0.1199999969685D-02 0.8659859016938D+05
 0.1249999968422D-02 0.8310009830065D+05
 0.1299999967159D-02 0.7987138858073D+05
 0.1349999965896D-02 0.7688245014388D+05
 0.1399999964633D-02 0.7410756208528D+05
 0.1449999963370D-02 0.7152455196202D+05
 0.1499999962107D-02 0.6911420750906D+05
 0.1549999960844D-02 0.6685979730780D+05
 0.1599999959581D-02 0.6474668298893D+05
 0.1649999958317D-02 0.6276200195635D+05
 0.1699999957054D-02 0.6089440611166D+05
 0.1749999955791D-02 0.5913384537909D+05
 0.1799999954528D-02 0.5747138731863D+05
 0.1849999953265D-02 0.5589906599915D+05
 0.1899999952002D-02 0.5440975474123D+05
 0.1949999950739D-02 0.5299705844471D+05
 0.1999999949476D-02 0.5165522207316D+05
 0.2049999948213D-02 0.5037905266157D+05
 0.2099999946950D-02 0.4916385348256D+05
 0.2149999945686D-02 0.4800536302603D+05
 0.2199999944423D-02 0.4689970833884D+05
 0.2249999943160D-02 0.4584336099498D+05
 0.2299999941897D-02 0.4483310099285D+05
 0.2349999940634D-02 0.4386598145813D+05
 0.2399999939371D-02 0.4293930070046D+05
 0.2499999936845D-02 0.4119753531576D+05
 0.2599999934318D-02 0.3959023220453D+05
 0.2699999931792D-02 0.3810242637171D+05
 0.2799999929266D-02 0.3672129095211D+05
 0.2899999926740D-02 0.3543577073178D+05
 0.2999999924214D-02 0.3423628658295D+05
 0.3099999921687D-02 0.3311449672130D+05
 0.3199999919161D-02 0.3206310325255D+05
 0.3299999916635D-02 0.3107569390160D+05
 0.3399999914109D-02 0.3014661167920D+05
 0.3499999911583D-02 0.2927084689902D+05
 0.3599999909056D-02 0.2844394719836D+05
 0.3699999906530D-02 0.2766194215569D+05
 0.3799999904004D-02 0.2692127981622D+05
 0.3899999901478D-02 0.2621877298762D+05
 0.3999999898952D-02 0.2555155359559D+05
 0.4099999896425D-02 0.2491703372307D+05
 0.4199999893899D-02 0.2431287280795D+05
 0.4299999891373D-02 0.2373694802307D+05
 0.4399999888847D-02 0.2318732918072D+05
 0.4499999886320D-02 0.2266225820911D+05
 0.4599999883794D-02 0.2216013045922D+05
 0.4699999881268D-02 0.2167947870645D+05
 0.4799999878742D-02 0.2121895647697D+05
 0.4899999876216D-02 0.2077732796647D+05
 0.4999999873689D-02 0.2035345802396D+05
 0.5099999871163D-02 0.1994629842448D+05
 0.5199999868637D-02 0.1955488209522D+05
 0.5299999866111D-02 0.1917831717359D+05
 0.5399999863585D-02 0.1881577510821D+05
 0.5499999861058D-02 0.1846648898846D+05
 0.5599999858532D-02 0.1812974776616D+05
 0.5799999853480D-02 0.1749129477270D+05
 0.5999999848427D-02 0.1689564596134D+05
 0.6199999843375D-02 0.1633864763093D+05
 0.6399999838322D-02 0.1581666613749D+05
 0.6599999833270D-02 0.1532650902124D+05
 0.6799999828218D-02 0.1486536005793D+05
 0.6999999823165D-02 0.1443072544960D+05
 0.7199999818113D-02 0.1402038898783D+05
 0.7399999813060D-02 0.1363237449248D+05
 0.7599999808008D-02 0.1326491418463D+05
 0.7799999802955D-02 0.1291642192887D+05
 0.7999999797903D-02 0.1258547049231D+05
 0.8199999792851D-02 0.1227077213449D+05
 0.8399999787798D-02 0.1197116199041D+05
 0.8599999782746D-02 0.1168558459885D+05
 0.8799999777693D-02 0.1141307932612D+05
 0.8999999772641D-02 0.1115277156648D+05
 0.9199999767588D-02 0.1090386288305D+05
 0.9399999762536D-02 0.1066562394920D+05
 0.9599999757484D-02 0.1043738494361D+05
 0.9799999752431D-02 0.1021853110428D+05
 0.9999999747379D-02 0.1000849772523D+05
 0.1019999974233D-01 0.9806764115570D+04
 0.1039999973727D-01 0.9612849002251D+04
 0.1059999973222D-01 0.9426308783360D+04
 0.1079999972717D-01 0.9246732026860D+04
 0.1099999972212D-01 0.9073736808874D+04
 0.1119999971706D-01 0.8906970366823D+04
 0.1139999971201D-01 0.8746102473270D+04
 0.1159999970696D-01 0.8590827257488D+04
 0.1179999970191D-01 0.8440859306014D+04
 0.1199999969685D-01 0.8295931629258D+04
 0.1239999968675D-01 0.8020219055298D+04
 0.1279999967664D-01 0.7761883874434D+04
 0.1319999966654D-01 0.7519339616294D+04
 0.1359999965644D-01 0.7291186999408D+04
 0.1399999964633D-01 0.7076187121844D+04
 0.1439999963623D-01 0.6873239197478D+04
 0.1479999962612D-01 0.6681361706433D+04
 0.1519999961602D-01 0.6499676635036D+04
 0.1559999960591D-01 0.6327396318653D+04
 0.1599999959581D-01 0.6163812069491D+04
 0.1639999958570D-01 0.6008284522188D+04
 0.1679999957560D-01 0.5860235360512D+04
 0.1719999956549D-01 0.5719140520880D+04
 0.1759999955539D-01 0.5584523597318D+04
 0.1799999954528D-01 0.5455950272495D+04
 0.1839999953518D-01 0.5333024287356D+04
 0.1879999952507D-01 0.5215383590434D+04
 0.1919999951497D-01 0.5102696267713D+04
 0.1959999950486D-01 0.4994657049147D+04
 0.1999999949476D-01 0.4890985601231D+04
 0.2039999948465D-01 0.4791424127539D+04
 0.2079999947455D-01 0.4695733626618D+04
 0.2119999946444D-01 0.4603693917746D+04
 0.2159999945434D-01 0.4515101425175D+04
 0.2199999944423D-01 0.4429766437260D+04
 0.2239999943413D-01 0.4347514037880D+04
 0.2279999942402D-01 0.4268180759306D+04
 0.2319999941392D-01 0.4191614587506D+04
 0.2359999940381D-01 0.4117674506535D+04
 0.2399999939371D-01 0.4046227690347D+04
 0.2439999938360D-01 0.3977151715237D+04
 0.2479999937350D-01 0.3910330288533D+04
 0.2559999935329D-01 0.3783027293921D+04
 0.2639999933308D-01 0.3663532708745D+04
 0.2719999931287D-01 0.3551153357796D+04
 0.2799999929266D-01 0.3445275576759D+04
 0.2879999927245D-01 0.3345354141067D+04
 0.2959999925224D-01 0.3250903031391D+04
 0.3039999923203D-01 0.3161487706879D+04
 0.3119999921182D-01 0.3076718125327D+04
 0.3199999919161D-01 0.2996243507856D+04
 0.3279999917140D-01 0.2919747429609D+04
 0.3359999915119D-01 0.2846943715141D+04
 0.3439999913098D-01 0.2777572927062D+04
 0.3519999911077D-01 0.2711399744321D+04
 0.3599999909056D-01 0.2648209153187D+04
 0.3679999907035D-01 0.2587805161987D+04
 0.3759999905014D-01 0.2530008590988D+04
 0.3839999902993D-01 0.2474655678470D+04
 0.3919999900972D-01 0.2421595313833D+04
 0.3999999898952D-01 0.2370688785254D+04
 0.4079999896931D-01 0.2321808959823D+04
 0.4159999894910D-01 0.2274837610202D+04
 0.4239999892889D-01 0.2229665753141D+04
 0.4319999890868D-01 0.2186193156153D+04
 0.4399999888847D-01 0.2144325897969D+04
 0.4479999886826D-01 0.2103977462151D+04
 0.4559999884805D-01 0.2065067407605D+04
 0.4639999882784D-01 0.2027520339236D+04
 0.4719999880763D-01 0.1991266966334D+04
 0.4799999878742D-01 0.1956241490852D+04
 0.4879999876721D-01 0.1922383439669D+04
 0.4959999874700D-01 0.1889635595972D+04
 0.5039999872679D-01 0.1857944739552D+04
 0.5199999868637D-01 0.1797537171355D+04
 0.5359999864595D-01 0.1740796691224D+04
 0.5519999860553D-01 0.1687401686005D+04
 0.5679999856511D-01 0.1637066975392D+04
 0.5839999852469D-01 0.1589538801770D+04
 0.5999999848427D-01 0.1544590623260D+04
 0.6159999844385D-01 0.1502019563832D+04
 0.6319999840343D-01 0.1461643403937D+04
 0.6479999836301D-01 0.1423298018139D+04
 0.6639999832259D-01 0.1386835301756D+04
 0.6799999828218D-01 0.1352121156674D+04
 0.6959999824176D-01 0.1319033697987D+04
 0.7119999820134D-01 0.1287462148937D+04
 0.7279999816092D-01 0.1257305543424D+04
 0.7439999812050D-01 0.1228471971979D+04
 0.7599999808008D-01 0.1200876779700D+04
 0.7759999803966D-01 0.1174442513733D+04
 0.7919999799924D-01 0.1149098284153D+04
 0.8079999795882D-01 0.1124778633483D+04
 0.8239999791840D-01 0.1101423058040D+04
 0.8399999787798D-01 0.1078976103586D+04
 0.8559999783756D-01 0.1057386212113D+04
 0.8719999779714D-01 0.1036605484492D+04
 0.8879999775672D-01 0.1016590116131D+04
 0.9039999771630D-01 0.9972986548585D+03
 0.9199999767588D-01 0.9786930285264D+03
 0.9359999763547D-01 0.9607377546438D+03
 0.9519999759505D-01 0.9433994396780D+03
 0.9679999755463D-01 0.9266474811270D+03
 0.9839999751421D-01 0.9104525494591D+03
 0.9999999747379D-01 0.8947880038715D+03
 0.1015999974334D+00 0.8796281247840D+03
 0.1047999973525D+00 0.8507294292660D+03
 0.1079999972717D+00 0.8235832794092D+03
 0.1111999971909D+00 0.7980365672344D+03
 0.1143999971100D+00 0.7739534387805D+03
 0.1175999970292D+00 0.7512129677503D+03
 0.1207999969483D+00 0.7297071454262D+03
 0.1239999968675D+00 0.7093391301743D+03
 0.1271999967867D+00 0.6900219324696D+03
 0.1303999967058D+00 0.6716771650409D+03
 0.1335999966250D+00 0.6542340055500D+03
 0.1367999965441D+00 0.6376283054933D+03
 0.1399999964633D+00 0.6218020424895D+03
 0.1431999963825D+00 0.6067020994958D+03
 0.1463999963016D+00 0.5922801474893D+03
 0.1495999962208D+00 0.5784920321837D+03
 0.1527999961399D+00 0.5652975842266D+03
 0.1559999960591D+00 0.5526595541420D+03
 0.1591999959783D+00 0.5405438431386D+03
 0.1623999958974D+00 0.5289193129118D+03
 0.1655999958166D+00 0.5177569557999D+03
 0.1687999957358D+00 0.5070299793436D+03
 0.1719999956549D+00 0.4967139808416D+03
 0.1751999955741D+00 0.4867858764638D+03
 0.1783999954932D+00 0.4772244866241D+03
 0.1815999954124D+00 0.4680102648655D+03
 0.1847999953316D+00 0.4591246654405D+03
 0.1879999952507D+00 0.4505509035055D+03
 0.1911999951699D+00 0.4422728552957D+03
 0.1943999950890D+00 0.4342757808578D+03
 0.1975999950082D+00 0.4265458007737D+03
 0.2007999949274D+00 0.4190698749150D+03
 0.2039999948465D+00 0.4118359620181D+03
 0.2103999946848D+00 0.3980490125478D+03
 0.2167999945232D+00 0.3851018768826D+03
 0.2231999943615D+00 0.3729211066953D+03
 0.2295999941998D+00 0.3614415293907D+03
 0.2359999940381D+00 0.3506051173495D+03
 0.2423999938765D+00 0.3403600370117D+03
 0.2487999937148D+00 0.3306598799135D+03
 0.2551999935531D+00 0.3214629495856D+03
 0.2615999933914D+00 0.3127316073911D+03
 0.2679999932298D+00 0.3044318835971D+03
 0.2743999930681D+00 0.2965330104354D+03
 0.2807999929064D+00 0.2890070665016D+03
 0.2871999927447D+00 0.2818287695951D+03
 0.2935999925830D+00 0.2749748572973D+03
 0.2999999924214D+00 0.2684241494956D+03
 0.3063999922597D+00 0.2621573141823D+03
 0.3127999920980D+00 0.2561566574080D+03
 0.3191999919363D+00 0.2504057532673D+03
 0.3255999917747D+00 0.2448895900765D+03
 0.3319999916130D+00 0.2395944322699D+03
 0.3383999914513D+00 0.2345073607253D+03
 0.3447999912896D+00 0.2296165989834D+03
 0.3511999911279D+00 0.2249112476709D+03
 0.3575999909663D+00 0.2203810220475D+03
 0.3639999908046D+00 0.2160166537297D+03
 0.3703999906429D+00 0.2118092410194D+03
 0.3767999904812D+00 0.2077506502754D+03
 0.3831999903196D+00 0.2038333073180D+03
 0.3895999901579D+00 0.2000500088591D+03
 0.3959999899962D+00 0.1963942483427D+03
 0.4023999898345D+00 0.1928596472825D+03
 0.4087999896728D+00 0.1894405702903D+03
 0.4215999893495D+00 0.1829271138279D+03
 0.4343999890261D+00 0.1768141128696D+03
 0.4471999887028D+00 0.1710664157025D+03
 0.4599999883794D+00 0.1656528367687D+03
 0.4727999880561D+00 0.1605456142979D+03
 0.4855999877327D+00 0.1557199542023D+03
 0.4983999874094D+00 0.1511536446902D+03
 0.5111999870860D+00 0.1468267497393D+03
 0.5239999867626D+00 0.1427213276532D+03
 0.5367999864393D+00 0.1388211084522D+03
 0.5495999861159D+00 0.1351113880642D+03
 0.5623999857926D+00 0.1315788182537D+03
 0.5751999854692D+00 0.1282112998793D+03
 0.5879999851459D+00 0.1249977977405D+03
 0.6007999848225D+00 0.1219281581499D+03
 0.6135999844992D+00 0.1189931185469D+03
 0.6263999841758D+00 0.1161842956195D+03
 0.6391999838524D+00 0.1134938399407D+03
 0.6519999835291D+00 0.1109145527363D+03
 0.6647999832057D+00 0.1084399217975D+03
 0.6775999828824D+00 0.1060637966120D+03
 0.6903999825590D+00 0.1037805050747D+03
 0.7031999822357D+00 0.1015849395331D+03
 0.7159999819123D+00 0.9947215645272D+02
 0.7287999815890D+00 0.9743770836723D+02
 0.7415999812656D+00 0.9547743420036D+02
 0.7543999809423D+00 0.9358738436668D+02
 0.7671999806189D+00 0.9176403586634D+02
 0.7799999802955D+00 0.9000389227981D+02
 0.7927999799722D+00 0.8830391249017D+02
 0.8055999796488D+00 0.8666104184022D+02
 0.8183999793255D+00 0.8507258709400D+02
 0.8311999790021D+00 0.8353590779664D+02
 0.8439999786788D+00 0.8204860723859D+02
 0.8567999783554D+00 0.8060837773736D+02
 0.8695999780321D+00 0.7921309471637D+02
 0.8823999777087D+00 0.7786071749404D+02
 0.8951999773853D+00 0.7654937289078D+02
 0.9079999770620D+00 0.7527723165177D+02
 0.9207999767386D+00 0.7404265657093D+02
 0.9335999764153D+00 0.7284398025817D+02
 0.9463999760919D+00 0.7167979253615D+02
 0.9591999757686D+00 0.7054856128137D+02
 0.9719999754452D+00 0.6944904137783D+02
 0.9847999751219D+00 0.6837986688163D+02
 0.9975999747985D+00 0.6733989319791D+02
 0.1010399974475D+01 0.6632793787474D+02
 0.1023199974152D+01 0.6534291123484D+02
 0.1035999973828D+01 0.6438382444892D+02
 0.1048799973505D+01 0.6344962370611D+02
 0.1061599973182D+01 0.6253945749425D+02
 0.1074399972858D+01 0.6165237034969D+02
 0.1087199972535D+01 0.6078754298756D+02
 0.1099999972212D+01 0.5994419493183D+02
 0.1112799971888D+01 0.5912150199229D+02
 0.1125599971565D+01 0.5831880135059D+02
 0.1138399971242D+01 0.5753534552492D+02
 0.1151199970918D+01 0.5677046400345D+02
 0.1163999970595D+01 0.5602359056202D+02
 0.1176799970272D+01 0.5529403350541D+02
 0.1189599969948D+01 0.5458125267945D+02
 0.1202399969625D+01 0.5388470850995D+02
 0.1215199969301D+01 0.5320382107705D+02
 0.1227999968978D+01 0.5253812815129D+02
 0.1240799968655D+01 0.5188712950840D+02
 0.1253599968331D+01 0.5125032991960D+02
 0.1266399968008D+01 0.5062732905627D+02
 0.1279199967685D+01 0.5001767297397D+02
 0.1291999967361D+01 0.4942093058248D+02
 0.1304799967038D+01 0.4883675084513D+02
 0.1317599966715D+01 0.4826473042834D+02
 0.1330399966391D+01 0.4770448606618D+02
 0.1343199966068D+01 0.4715570519855D+02
 0.1355999965745D+01 0.4661803922711D+02
 0.1368799965421D+01 0.4609113889181D+02
 0.1381599965098D+01 0.4557471987997D+02
 0.1394399964774D+01 0.4506849400718D+02
 0.1407199964451D+01 0.4457213337059D+02
 0.1419999964128D+01 0.4408537136654D+02
 0.1432799963804D+01 0.4360798873480D+02
 0.1445599963481D+01 0.4313966646730D+02
 0.1458399963158D+01 0.4268016600261D+02
 0.1471199962834D+01 0.4222928376067D+02
 0.1483999962511D+01 0.4178676209614D+02
 0.1496799962188D+01 0.4135236525368D+02
 0.1509599961864D+01 0.4092589339647D+02
 0.1522399961541D+01 0.4050716465473D+02
 0.1535199961218D+01 0.4009593352724D+02
 0.1547999960894D+01 0.3969201402667D+02
 0.1560799960571D+01 0.3929524849418D+02
 0.1573599960248D+01 0.3890543826693D+02
 0.1586399959924D+01 0.3852239196354D+02
 0.1599199959601D+01 0.3814594716862D+02
 0.1611999959277D+01 0.3777597633901D+02
 0.1624799958954D+01 0.3741228019216D+02
 0.1637599958631D+01 0.3705470518563D+02
 0.1650399958307D+01 0.3670366057678D+02
 0.1663199957984D+01 0.3636585041164D+02
 0.1675999957661D+01 0.3602804024650D+02
 0.1688799957337D+01 0.3569023008137D+02
 0.1701599957014D+01 0.3535750215661D+02
 0.1714399956691D+01 0.3502974263763D+02
 0.1727199956367D+01 0.3470684106428D+02
 0.1739999956044D+01 0.3438869022673D+02
 0.1752799955721D+01 0.3407518604677D+02
 0.1765599955397D+01 0.3376622746435D+02
 0.1778399955074D+01 0.3346171632890D+02
 0.1791199954750D+01 0.3316155729544D+02
 0.1803999954427D+01 0.3286565772498D+02
 0.1816799954104D+01 0.3257392758924D+02
 0.1829599953780D+01 0.3228627937932D+02
 0.1842399953457D+01 0.3200262801817D+02
 0.1855199953134D+01 0.3172289077671D+02
 0.1867999952810D+01 0.3144698719338D+02
 0.1880799952487D+01 0.3117483899697D+02
 0.1893599952164D+01 0.3090637003262D+02
 0.1906399951840D+01 0.3064150619075D+02
 0.1919199951517D+01 0.3038017533885D+02
 0.1931999951194D+01 0.3012230725600D+02
 0.1944799950870D+01 0.2986783356996D+02
 0.1957599950547D+01 0.2961668769674D+02
 0.1970399950224D+01 0.2936880478249D+02
 0.1983199949900D+01 0.2912412164768D+02
 0.1995999949577D+01 0.2888257673345D+02
 0.2008799949253D+01 0.2864411004990D+02
 0.2021599948930D+01 0.2840866312649D+02
 0.2034399948607D+01 0.2817617896420D+02
 0.2047199948283D+01 0.2794660198957D+02
 0.2059999947960D+01 0.2771987801035D+02
 0.2072799947637D+01 0.2749595417290D+02
 0.2085599947313D+01 0.2727477892111D+02
 0.2098399946990D+01 0.2705630195680D+02
 0.2111199946667D+01 0.2684047420160D+02
 0.2123999946343D+01 0.2662724776021D+02
 0.2136799946020D+01 0.2641657588495D+02
 0.2149599945697D+01 0.2620841294158D+02
 0.2162399945373D+01 0.2600271437639D+02
 0.2175199945050D+01 0.2579943668434D+02
 0.2187999944726D+01 0.2559853737845D+02
 0.2200799944403D+01 0.2539997496016D+02
 0.2213599944080D+01 0.2520370889076D+02
 0.2226399943756D+01 0.2500969956381D+02
 0.2239199943433D+01 0.2481790827847D+02
 0.2251999943110D+01 0.2462829721377D+02
 0.2264799942786D+01 0.2444082940378D+02
 0.2277599942463D+01 0.2425546871354D+02
 0.2290399942140D+01 0.2407217981585D+02
 0.2303199941816D+01 0.2389092816885D+02
 0.2315999941493D+01 0.2371167999429D+02
 0.2328799941170D+01 0.2353440225655D+02
 0.2341599940846D+01 0.2335906264235D+02
 0.2354399940523D+01 0.2318562954111D+02
 0.2367199940199D+01 0.2301407202597D+02
 0.2379999939876D+01 0.2284435983535D+02
 0.2392799939553D+01 0.2267646335524D+02
 0.2405599939229D+01 0.2251035360188D+02
 0.2418399938906D+01 0.2234600220516D+02
 0.2431199938583D+01 0.2218338139241D+02
 0.2443999938259D+01 0.2202246397279D+02
 0.2456799937936D+01 0.2186322332212D+02
 0.2469599937613D+01 0.2170563336818D+02
 0.2482399937289D+01 0.2154966857651D+02
 0.2495199936966D+01 0.2139530393660D+02
 0.2507999936643D+01 0.2124251494851D+02
 0.2520799936319D+01 0.2109127760994D+02
 0.2533599935996D+01 0.2094156840362D+02
 0.2546399935673D+01 0.2079336428514D+02
 0.2559199935349D+01 0.2064664267113D+02
 0.2571999935026D+01 0.2050138142777D+02
 0.2584799934702D+01 0.2035755885968D+02
 0.2597599934379D+01 0.2021515369910D+02
 0.2610399934056D+01 0.2007414509541D+02
 0.2623199933732D+01 0.1993451260496D+02
 0.2635999933409D+01 0.1979623618118D+02
 0.2648799933086D+01 0.1965929616501D+02
 0.2661599932762D+01 0.1952367327553D+02
 0.2674399932439D+01 0.1938934860096D+02
 0.2687199932116D+01 0.1925630358986D+02
 0.2699999931792D+01 0.1912452004258D+02
 0.2712799931469D+01 0.1899398010293D+02
 0.2725599931146D+01 0.1886466625018D+02
 0.2738399930822D+01 0.1873656129118D+02
 0.2751199930499D+01 0.1860964835274D+02
 0.2763999930175D+01 0.1848391087421D+02
 0.2776799929852D+01 0.1835933260033D+02
 0.2789599929529D+01 0.1823589757416D+02
 0.2802399929205D+01 0.1811359013030D+02
 0.2815199928882D+01 0.1799239488825D+02
 0.2827999928559D+01 0.1787229674600D+02
 0.2840799928235D+01 0.1775328087368D+02
 0.2853599927912D+01 0.1763533270754D+02
 0.2866399927589D+01 0.1751843794394D+02
