 480 0.000025010  0.000000  2.200000   1Sb 1
  32  64  96 128 160 192 224 256 288
 0.2499999936845D-04 0.4079998956518D+07
 0.4999999873689D-04 0.2039999488348D+07
 0.7499999810534D-04 0.1359999661823D+07
 0.9999999747379D-04 0.1019999745709D+07
 0.1249999968422D-03 0.8159997937593D+06
 0.1499999962107D-03 0.6799998238923D+06
 0.1749999955791D-03 0.5828569866434D+06
 0.1999999949476D-03 0.5099998572808D+06
 0.2249999943160D-03 0.4533331998429D+06
 0.2499999936845D-03 0.4079998727520D+06
 0.2749999930529D-03 0.3709089677314D+06
 0.2999999924214D-03 0.3399998792638D+06
 0.3249999917898D-03 0.3138460342985D+06
 0.3499999911583D-03 0.2914284520851D+06
 0.3749999905267D-03 0.2719998800729D+06
 0.3999999898952D-03 0.2549998788494D+06
 0.4249999892636D-03 0.2399998770989D+06
 0.4499999886320D-03 0.2266665415759D+06
 0.4749999880005D-03 0.2147367144550D+06
 0.4999999873689D-03 0.2039998694760D+06
 0.5249999867374D-03 0.1942855806185D+06
 0.5499999861058D-03 0.1854544084114D+06
 0.5749999854743D-03 0.1773911637264D+06
 0.5999999848427D-03 0.1699998556231D+06
 0.6249999842112D-03 0.1631998517119D+06
 0.6499999835796D-03 0.1569229245860D+06
 0.6749999829481D-03 0.1511109546026D+06
 0.6999999823165D-03 0.1457141249248D+06
 0.7249999816850D-03 0.1406894900040D+06
 0.7499999810534D-03 0.1359998303643D+06
 0.7749999804219D-03 0.1316127290433D+06
 0.7999999797903D-03 0.1274998211981D+06
 0.8499999785272D-03 0.1199998117686D+06
 0.8999999772641D-03 0.1133331354526D+06
 0.9499999760010D-03 0.1073682133377D+06
 0.9999999747379D-03 0.1019997822938D+06
 0.1049999973475D-02 0.9714262931067D+05
 0.1099999972212D-02 0.9272703465269D+05
 0.1149999970949D-02 0.8869540375580D+05
 0.1199999969685D-02 0.8499974114979D+05
 0.1249999968422D-02 0.8159973063977D+05
 0.1299999967159D-02 0.7846125852241D+05
 0.1349999965896D-02 0.7555526497624D+05
 0.1399999964633D-02 0.7285684158298D+05
 0.1449999963370D-02 0.7034451556814D+05
 0.1499999962107D-02 0.6799967719393D+05
 0.1549999960844D-02 0.6580611797892D+05
 0.1599999959581D-02 0.6374965550200D+05
